index,File_path,TotalPackages
0,ADPtoStagingIncrementalLoad_ADPToStagingIncrementalParentPackage,14
10,AnaplanToStaging_AnaplanParentpackage,6
22,CMSToStagingFullLoad_CMSToStagingFullLoadParentPackage,25
36,CMSToStagingIncrementalLoad_CMSPreBurstParentPackage,4
37,CMSToStagingIncrementalLoad_CMSToStagingParentPackage,25
67,CSSToStagingIncrementalLoad_CSSToStagingParentPackage,27
87,CambridgeToStagingLoad_CambridgeParentPackage,6
93,DWBaseIncrementalLoad_DWBaseParentPackage,16
111,DWMartIncrementalLoad_DWMarParentPackage,1
112,DWMartIncrementalLoad_DWMartParentPackage,23
210,GLToStagingHistoryLoad_GLToStagingFullLoadParentPackage,6
225,GLToStagingIncrementalLoad_GLToStagingIncrementalLoadParentPackage,37
226,GLToStagingIncrementalLoad_GLToStagingParentPackage,23
245,HRToStagingIncrementalLoad_HRToStagingParentPackage,56
369,LocationMasterStagingLoad_LocationMasterHistoryParentPackage,6
370,LocationMasterStagingLoad_LocationMasterIncrementalParentPackage,10
384,OtherMiscStagingLoad_OtherMiscStagingParentPackage,7
399,SalesForceToStagingIncrementalLoad_SalesforceToStagingParentPackage,13
512,StagingToEDW_StagingToEDWParentPackage,16
